"","X","File.Name","first_author_ep","measured_in_time_series_data_ep","hypothesized_driver_of_change_ep","level_of_analysis_ep","increase_decrease_ep","method.of.estimating_ep","raw.stats_ep","author_nd","measured_in_time_series_data_nd","level_of_analysis_nd","hypothesized_driver_of_change_nd","method_of_estimating_nd","increase_decrease_nd","raw_stats_nd","notes_nd","first_author_ib","measured_in_time_series_data_ib","level_of_analysis_ib","hypothesized_driver_of_change_ib","increase_decrease_ib","method_of_estimating_ib","raw_stats_ib","help_needed_ib","first_author_ps","population.structure._ps","genetic.structure._ps","spatial.structure._ps","genomic.structure._ps","measured_in_time_series_data_ps","hypothesized_driver_of_change_ps","increase_decrease_ps","method_of_estimating_ps","raw_stats_ps","measured_in_time_series_data_gf","level_of_analysis_gf","hypothesized_driver_of_change_gf","increase_decrease_gf","method_of_estimating_gf","raw_stats_gf","author_selection","measured_in_time_series_data_selection","central_question_regarding_selection_selection","outcome_of_central_question_selection","selection_level_of_analysis_selection","selection_hypothesized_driver_of_change_selection.x","selection_method_of_estimating_selection","selection_candidate_gene_list_selection","selection_coefficent_overall_selection","selection_coefficent_meanofoutliers_selection","first_author_last_name_drift","measured_in_time_series_data_drift","level_of_analysis_drift","hypothesized_driver_of_change_drift","method_of_estimating_drift","did_drift_have_effect_drift","raw_stats_drift","help_needed_drift","notes_drift","Author_fst","measured_in_time_series_data_fst","level_of_analysis_fst","hypothesized_diver_of_change_fst","spacetime_or_time_fst","sliding_window_vs_entire_genome_fst","candidate_gene_list_fst","raw_stats_fst","first_auhtor_tajima","measured_in_time_series_data_tajima","level_of_analysis_tajima","hypothesized_driver_of_change_tajima","sliding_window_vs_entire_genome_tajima","raw_stats_tajima","canidate_gene_tajima","help_needed_tajima","first_author_mc","measured_in_time_series_data_mc","level_of_anaylsis_mc","hypothesized_driver_of_change_mc","increase_decrease_mc","method_of_estimating_mc","raw_stats_mc","help_needed_mc","order_parallel","parallel._parallel","author_parallel","measured_in_time_series_data_parallel","evidence_of_parallel_evolution_parallel","snp_evidence_parallel","gene_protein_evidence_parallel","parallel_diversity.change_parallel","notes_parallel","collectedmonth_paperinfo","doi_paperinfo","year_paperinfo","journal_paperinfo","volume_paperinfo","issue_paperinfo","dbs_paperinfo","authors_paperinfo","first_author_paperinfo","keywords_paperinfo","Title_paperinfo","Notes_paperinfo","Type_paperinfo","Study.system_paperinfo","Taxon_paperinfo","Driver.of.change_paperinfo","Data.type_paperinfo","Experimental.design_paperinfo","Time.scale.years_paperinfo","Time.scale.generations_paperinfo","File.Name.1_paperinfo","revised","Driver.of.change.std_paperinfo"
"102",103,"10.1098_rspb.2021.0577.pdf","stahlke","yes",NA,"multiple_spatial",NA,"spatpg","Population Ne; Fentonbury 35; Forestier 35; Freycinet 34; Naraawntapu 37; West Pencil Pine 26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stahlke","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stahlke","yes","Is devil facial tumor disease a novel selective force?","Results suggest that this is a novel selective force","multiple_temporal","disease; natural evolution","dN/dS; allele shifts, GO enrichment anaylsis, branch-site test, ","yes",NA,NA,"stahlke","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1098/rspb.2021.0577",2021,"P ROY SOC B-BIOL SCI",288,"1951","NA scopus wos","Stahlke A.R.; Epstein B.; Barbosa S.; Margres M.J.; Patton A.H.; Hendricks S.A.; Veillet A.; Fraik A.K.; Sch√∂nfeld B.; McCallum H.I.; Hamede R.; Jones M.E.; Storfer A.; Hohenlohe P.A.","Stahlke","conservation genomics; molecular evolution; RAD-capture; rapid evolution; transmissible cancer; wildlife disease","contemporary and historical selection in tasmanian devils (sarcophilus harrisii) support novel; polygenic response to transmissible cancer","HELP","article","vertebrate","Sarcophilus harrisii","host-pathogen","reduced representation","historical","15","8","10.1098_rspb.2021.0577.pdf","host-pathogen","host-pathogen"
"103",104,"10.1098_rspb.2022.1857.pdf","burny","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Burney","yes","what is the impact of multiple stressors on ","multiple stressors have synergistic effects","multiple temporal","temperature and laboratory conditions","allele frequency changes","no",NA,NA,"burny","yes","multiple_temporal","experimental evolution; temperature change","allele frequency change; fdr","yes","1% of allele frequency changes (per window) due to drift",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,"Yes","burny","yes","partial","yes",NA,NA,"finds lots of convergence in temperature replicates, but where replicates don't have same adaptations its not clear if its an alternative solution or just drift (they call it drift) ","may","10.1098/rspb.2022.1857",2022,"Proceedings of the Royal Society B: Biological Sciences",289,"1985","er","Burny C.; Nolte V.; Dolezal M.; Schl√∂tterer C.","Burny","Drosophila melanogaster; experimental evolution; local adaptation; parallel evolution; temperature adaptation","genome-wide selection signatures reveal widespread synergistic effects of two different stressors in drosophila melanogaster","","article ","invertebrate","Drosophila melanogaster","experimental","reduced representation","experimental",NA,"20","10.1098_rspb.2022.1857.pdf","experimental","experimental"
"104",105,"10.1098_rstb.2022.0190.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reid","yes","Will parralel polygenic selection occur in atlantic cod in 2 separate populationsg in response to long-term intensive fishing pressure?","found evidence for parallel evolution","multiple_spatial & simulation","overfishing; anthropogenic","allele frequnecy change; convergent correlation stat","no",NA,NA,"reid","no",NA,NA,NA,NA,NA,NA,NA,"Reid","yes","multipe spatial; also simulation","fishing pressure; anthropogenic factors","spacetime","genomewide","no","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,"Yes","reid","yes","yes","yes",NA,"yes","find parallel changes in allele frequencies and linkage groups in different cod populations greater than expected by chance ","may","10.1098/rstb.2022.0190",2023,"Philosophical Transactions of the Royal Society B: Biological Sciences",378,"1881","er","Reid B.N.; Star B.; Pinsky M.L.","Reid","convergence; fisheries-induced evolution; parallel adaptation","detecting parallel polygenic adaptation to novel evolutionary pressure in wild populations: a case study in atlantic cod (gadus morhua)","Time scale generation from https://www.fishbase.se/summary/gadus-morhua.html#:~:text=Generation%20time%3A%207.7%20(7.1%20%2D;based%20on%2057%20growth%20studies.","article ","vertebrate","Gadus morhua","natural evolution","simulation","historical","107","14","10.1098_rstb.2022.0190.pdf","anthropogenic","anthropogenic"
"105",106,"10.1099_jgv.0.000258.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Diaz","No","Yes","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"diaz","yes","How does H1N1 flu evolve through a vaccinated population?","Overall, 794 polymorphisms were identified amongst all samples, which yielded 327 alleles, 214 of which were unique sequences. A total of 43 distinct haemagglutinin proteins were translated, two of which were observed in multiple pigs, whereas the neuraminidase (NA) was conserved and only one dominant NA was found throughout the study. // Most substitutions were synonymous.","multiple temporal","host-pathogen",NA,NA,NA,NA,"diaz","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,"No",NA,NA,NA,NA,NA,NA,NA,"august","10.1099/jgv.0.000258",2015,"",NA,"","","Diaz A.; Enomoto S.; Romagosa A.; Sreevatsan S.; Nelson M.; Culhane M.; Torremorell M.","Diaz","","Genome plasticity of triple-reassortant H1N1 influenza A virus during infection of vaccinated pigs","","article","virus","Influenza virus","host-pathogen","WGS","experimental","0.07692308 or 0.038356164","#N/A","10.1099_jgv.0.000258.pdf","host-pathogen","host-pathogen"
"106",107,"10.1099_MGEN.0.000553.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"leyn","yes","How does e coli evolve in response to antibiotics, specifically triclosan?","missnese in fabI gene; candidate gene list","multiple_temporal","antibiotics","muller plots","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,"Yes","leyn","yes","partial","yes","yes",NA,"We have observed parallel evolution toward a single mechanism of robust TCS resistance; ll these trajectories converged within 4days into a limited number of solutions (Fig. 4) sharing one general mechanism of robust TCS resistance (up to 16-fold increase in IC90) driven by a range of adaptive amino acid substitutions in the vicinity of NAD/TCS-binding site of the known target enzyme enoyl- [ACP]-reductase Fab","august","10.1099/MGEN.0.000553",2021,"",NA,"","","Leyn S.A.; Zlamal J.E.; Kurnasov O.V.; Li X.; Elane M.; Myjak L.; Godzik M.; de Crecy A.; Garcia-Alcalde F.; Ebeling M.; Osterman A.L.","Leyn","","Experimental evolution in morbidostat reveals converging genomic trajectories on the path to triclosan resistance","","article","bacteria","E coli","experimental","poolseq","experimental","0.02191781","288","10.1099_MGEN.0.000553.pdf","host-pathogen","host-pathogen"
"112",113,"10.1111_eva.13656.pdf","howe","yes","domestication; anthropogenic","multiple_temporal","decrease","linkage disequilibrium method implemented in NeEstimator v2.1","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Howe","Yes","No","No","No","yes","rearing in hatchery; captive breeding; anthropogenic","no change","PCA and pairwise Fst","see doc",NA,NA,NA,NA,NA,NA,"Howe","yes","To what extent does domestication selection act on the salmon genome?","Domestication selection has a significant impact on the genome and can cause farm raised salmons to be significantly different from their wild counter parts in just a few generations","multiple_spatial","domestication; farming; anthropogenic","Fst; local scores; fischer's exact test","no",NA,NA,"howe","no",NA,NA,NA,NA,NA,NA,NA,"Howe","yes","multiple spatial","rearing in hatchery; captive breeding; anthropogenic","spacetime","genomewide","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,"Yes","howe","yes","no","yes",NA,"no","one region showed parallel genomic differentiation, but no enriched go terms were found in the peaks, suggesting different genes under selection","may","10.1111/eva.13656",2024,"EVOL APPL",17,"2","NA NA wos","Howe; NS; Hale; MC; Waters; CD; Schaal; SM; Shedd; KR; Larson; WA","Howe","domestication selection; hatchery; low-coverage whole-genome sequencing; rapid adaptation; salmon; Southeast Alaska","genomic evidence for domestication selection in three hatchery populations of chinook salmon; oncorhynchus tshawytscha","","article ","vertebrate","Oncorhynchus tshawytscha","domestication; anthropogenic","WGS","historical","32","9","10.1111_eva.13656.pdf","anthropogenic","anthropogenic"
"113",114,"10.1111_evo.12849.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phillips","yes","Does selection to glucose systematically increase lactose evolvaability?","yes","multiple_temporal","nutrient limitation; experimental","novel mutation identification","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1111/evo.12849",2016,"EVOLUTION",70,"2","NA scopus wos","Phillips K.N.; Castillo G.; W√ºnsche A.; Cooper T.F.","Phillips","Adaptation; Evolvability; Experimental evolution","adaptation of escherichia coli to glucose promotes evolvability in lactose","","article","bacteria","escherichia coli","experimental","WGS","experimental",NA,"3000","10.1111_evo.12849.pdf","experimental","experimental"
"114",115,"10.1111_gcb.17126.pdf","benham","yes","habitat loss; urbanization; anthropogenic","multiple_inferred","decrease; potenial for slight expansion in Bay Area, compared 3 populations and models from historic and moden samples, varying patterns","GADMA2",NA,"benham","yes","multiple_spatial","habitat loss","pi","decreased; no change","change in pi  from historic to now across pops: -0.0000102, -0.0000582, -0.0000207, 3.9E-06, 0.0000138","also calculated watterson's theta; data extracted from fig. s5 with web plot digitizer focusing on subsampled comparison","benham",NA,NA,NA,NA,NA,NA,NA,"Benham","Yes","No","No","No","yes","coastal habitat loss; urbanization, agriculture, and mining; anthropogenic","decrease","PCA and admixture","see doc","yes","multiple_spatial; multiple_temporal","habitat loss; popluation decline; anthropogenic","increase","DyStruct (similar to Admixture)","temporal variation in population structure, with modern birds from the central and northern California	coast	exhibiting	a	17%	(Morro	Bay)	to	64%	(Humboldt	Bay)	increase in the proportion of ancestry shared with inland eastern California birds. These temporal changes point to a recent increase in the level of gene flow from inland eastern California populations into coastal populations.","benham","yes","Do alleles associated with local adaptation to tidal marshes resist gene flow from inland populations? / does selection prevent gene flow?","no","multiple_temporal","gene flow resulting from urbanization; anthropogenic","test for correlation between historical deviation in allele frequency and change in allele frequency through time for each SNP","",NA,NA,"benham","yes","multiple_temporal","habitat destruction; anthropogenic","allele frequency change","no","found gene flow more likely driver of results than drift",NA,NA,"Benham","yes","multiple spatial","coastal habitat loss; urbanization, agriculture, and mining; anthropogenic","spacetime","both","","see doc","benham","yes","multiple_spatial","habitat degredation; anthropogenic","sliding window","see notes doc","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,123,"Yes","benham","no",NA,NA,NA,NA,NA,"august","10.1111/gcb.17126",2024,"",NA,"","","Benham; Phred M.; Walsh; Jennifer; Bowie; Rauri C. K.","Benham","","Spatial variation in population genomic responses to over a century of anthropogenic change within a tidal marsh songbird","","article","vertebrate","Bird","anthropogenic","reduced representation","historical","128","48","10.1111_gcb.17126.pdf","anthropogenic","anthropogenic"
"115",116,"10.1111_jam.15806.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wassenaar","yes","What genetic changes led to the monkeybox outbreak in 2022?","22 candidate mutations","multiple temporal","host-pathogen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1111/jam.15806",2022,"Journal of Applied Microbiology",133,"6","NA scopus NA","Wassenaar T.M.; Wanchai V.; Ussery D.W.","Wassenaar","evolution; Monkeypox virus; outbreak; repeat; single nucleotide polymorphism","comparison of monkeypox virus genomes from the 2017 nigeria outbreak and the 2022 outbreak","generation time of 12.5 days sourced from: 10.3201/eid2810.221126","article","virus","Mpox virus","host-pathogen","WGS","historical","57","1664.4","10.1111_jam.15806.pdf","host-pathogen","host-pathogen"
"116",117,"10.1111_jeb.13764.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selveshwari","yes","Will the same selective pressue result in different evolutionary responses?","Some genes are shared between lines, but changing the selective pressue at different physiological states lead to different genes evolving","multiple_spatial","UV; different growth phases; experimental evolution","dN/dS; functional grouping of mutations","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,"Yes","selveshwari","yes","partial",NA,"yes",NA,"experimental evolution of ecoli at two different growth phases; similar genes mutated in both treatments, but different functional groups ","may","10.1111/jeb.13764",2021,"Journal of Evolutionary Biology",34,"6","er","Selveshwari S.; Lele K.; Dey S.","Selveshwari","antibiotic resistance; evolve and resequence; exponential phase; lag phase; UV damage","genomic signatures of uv resistance evolution in escherichia coli depend on the growth phase during exposure","","article","bacteria","Escherichia coli","experimental","poolseq","experimental",NA,"7,200","10.1111_jeb.13764.pdf","experimental","experimental"
"117",118,"10.1111_jeb.14152.pdf","johnson","no",NA,NA,NA,NA,NA,"johnson","yes","multiple_temporal","drought; experimental evolution","pi","no change","pi = 0.0105 � 0.0040 in ancestral, 0.0104 � 0.0040 in drought, and 0.0104 � 0.0040 in water treatments",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Johnson","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"johnson","yes","Is evolution in response to drought parallel?","no","multiple_temporal","drought; experimental","SNP frequency shifts; BayPass","yes",NA,NA,"johnson","no",NA,NA,NA,NA,NA,NA,"acknowledges that drift may have played a roll but doesn't say how much ","","","","","","","","","johnson",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,126,"Yes","johnson","yes","no","no","partial",NA,"some changes in similar stress genes, but largely little overlap in snps","may","10.1111/jeb.14152",2023,"Journal of Evolutionary Biology",36,"3","er","Johnson S.E.; Tittes S.; Franks S.J.","Johnson","Brassica rapa; drought adaptation; experimental evolution; parallel evolution; rapid evolution; resurrection approach","rapid; nonparallel genomic evolution of brassica rapa (field mustard) under experimental drought","","article","plant","Brassica rapa","experimental","reduced representation","experimental",NA,"6","10.1111_jeb.14152.pdf","anthropogenic","anthropogenic"
"118",119,"10.1111_mec.12260.pdf","therkildsen","yes","fisheries; temperature; anthropogenic","multiple_spatial",NA,"pseudo-likelihood estimator of Wang (2001) in MNE2","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Therkildsen","Yes","Yes","Yes","No","yes","overfishing; anthropogenic","no change","Fsc","Fsc= -0.01 ""However, our analysis of nonoutlier loci—which should reflect neutral evolution- ary forces—revealed temporally stable spatial differenti- ation between the sampling locations, indicating that the overall population structure has remained intact over the study period.""",NA,NA,NA,NA,NA,NA,"therkildsen","yes","What genomic signatures are detected over time; are they parallel between populations","candidate gene list","multiple_temporal","overfishing; anthropogenic","bayescan; Fdist","yes",NA,NA,"therkildsen","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","Therkildsen","yes","multiple temporal","overfishing; anthropogenic","spacetime","genomewide","yes","see doc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,"Yes","therkildsen","yes","no","no",NA,NA,"snp changes were largely non parallel","may","10.1111/mec.12260",2013,"MOL ECOL",22,"9","NA scopus wos","Therkildsen N.O.; Hemmer-Hansen J.; Als T.D.; Swain D.P.; Morgan M.J.; Trippel E.A.; Palumbi S.R.; Meldrup D.; Nielsen E.E.","Therkildsen","fisheries-induced evolution; Gadus morhua; genome scan; historical DNA; selection; temporal","microevolution in time and space: snp analysis of historical dna reveals dynamic signatures of selection in atlantic cod","","article","vertebrate","gadus morhua","anthropogenic","reduced representation","natural evol","80","9","10.1111_mec.12260.pdf","anthropogenic","anthropogenic"
"119",120,"10.1111_mec.13615.pdf",NA,NA,NA,NA,NA,NA,NA,"franks","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Franks","Yes","No","No","No","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"franks","yes","Evolution of Brassica rapa in response to drought","candidate gene list","multiple_temporal","drought","fst; tajima's d","yes",NA,NA,"franks","no",NA,NA,NA,NA,NA,NA,"acknowledges that drift may have played a roll but doesn't say how much ","Franks","yes","multiple spatial","drought; climate change","spacetime","both","yes","see doc","franks","yes","multiple_spatial","drought; climate change; anthropogenic","sliding window","see notes doc","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,128,"Yes","franks","yes","no","no","no",NA,"Allele frequencies did not shift in parallel between the two populations for these 11 genes more than expected by chance (Pearson correlation r = 0.03, P = 0.85; Fig. 3b). ; few parallel genes under selection","may","10.1111/mec.13615",2016,"MOL ECOL",25,"15","NA scopus wos","Franks S.J.; Kane N.C.; O'Hara N.B.; Tittes S.; Rest J.S.","Franks","adaptation; Brassica rapa; climate change; contemporary evolution; natural selection; population genomics; rapid evolution","rapid genome-wide evolution in brassica rapa populations following drought revealed by sequencing of ancestral and descendant gene pools","generation time 24 days from 10.1111/j.1558-5646.1995.tb04439.x","article","plant","brassica rapa","natural evolution","poolseq","historical","7","106.45","10.1111_mec.13615.pdf","anthropogenic","anthropogenic"
"120",121,"10.1111_mec.15085.pdf","r�go","yes","host plant shift; experimental","multiple_temporal","increase; population bottleneck at onset of experiment followed by increase and then decrease","Bayesian bootstrap method Gompert (2016)","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"r�go","yes","Is selection acting in parallel on seed beetles that are adapting to a marginal host plant","yes, mostly","multiple_temporal","symbioses","allele frequency change, relative selection coefficient","no","In particular, the average intensity of selec_ tion was 0.388 in L14 from P to F4, and 0.207 and 0.211 in sublines A and B between the F4 and F16 generations ","","rego","yes","multiple_temporal","plant-seed predator evolution; coevolution","allele frequency change; bayesian bootstrapping","yes","198 out of 21,342 snps determined to be not drifting (> 99% of snps potentially drifting)",NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,"Yes","rego","yes","partial","yes",NA,NA,"we found that adaptation on lentil occurred via somewhat idi_ osyncratic evolutionary changes;  parallel evolutionary changes were evident in sub_ lines formed after the lentil line had passed through a bottleneck (extreme parallelism following bottleneck r = .857)","may","10.1111/mec.15085",2019,"Molecular Ecology",28,"9","er","R√™go A.; Messina F.J.; Gompert Z.","R√™go","approximate Bayesian computation; Callosobruchus maculatus; evolutionary rescue; evolve and resequence; experimental evolution; parallel evolution","dynamics of genomic change during evolutionary rescue in the seed beetle callosobruchus maculatus","","article ","invertebrate","Callosobruchus maculatus","host-pathogen","reduced representation","experimental","1.15","100","10.1111_mec.15085.pdf","experimental","experimental"
"121",122,"10.1111_mec.15579.pdf","langm�ller","yes","heat; experimental","multiple_temporal","none","J�n�s et al 2016","see notes file",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Langmuller","yes","what is the minimum number of generations needed to observe complex adaptation in evolve and resequence experiments","only a subset of selection targets are detected early in the experiment","multiple temporal","heat; experimental","ROC-like curve","yes",NA,NA,"langmuller ","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,"Yes","langmuller","yes","partial","partial",NA,NA,"early selection is stronger and more parallel; points out that studies of parallelism probably suffer from positive confirmation bias/methodological bias","august","10.1111/mec.15579",2020,"",NA,"","","Langm√ºller A.M.; Schl√∂tterer C.","Langm√ºller","","Low concordance of short-term and long-term selection responses in experimental Drosophila populations","","article","invertebrate","Drosophila simulans","experimental","poolseq","experimental","#N/A","60","10.1111_mec.15579.pdf","experimental","experimental"
"122",123,"10.1111_mec.15687.pdf","phillips","yes",NA,"multiple_spatial",NA,"CLEAR","none","phillips","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"phillips","yes","How does the number of time points sampled affect the identification of candidate regions that experienced selection?","8 time points is beneficial but not beyond that; some alleles have constant selection coefficients and some have dynamic","multiple_temporal","nutrient limitation; experimental","CLEAR; allele frequency change; CMH","yes",NA,NA,"phillips","no",NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,"Yes","phillips","no",NA,NA,NA,NA,NA,"may","10.1111/mec.15687",2020,"Molecular Ecology",29,"24","er","Phillips M.A.; Kutch I.C.; Long A.D.; Burke M.K.","Phillips","adaptation; experimental evolution; genomics; population genomics","increased time sampling in an evolve-and-resequence experiment with outcrossing saccharomyces cerevisiae reveals multiple paths of adaptive change","","article","fungus","Saccharomyces cerevisiae","experimental","poolseq","experimental","18 weeks","540","10.1111_mec.15687.pdf","experimental","experimental"
"124",125,"10.1111_mec.16451.pdf",NA,NA,NA,NA,NA,NA,NA,"abdullahi","yes","multiple_temporal","pollution","genome-wide SNP-alpha diversity; Ma et al. 2020 scientific reports","decreased","Most recent: diversity = 2100.7; older time points diversity: 2627.6, 2668.3, 2585.8","full details in table S2",NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abdullahi","yes","How does historical exposure to chemicals affect future tolerance to chemicals in Daphnia?","candidate gene list","multiple_temporal","pollution; anthropogenic","alpha and beta snp diversity","incomprehensible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,"No",NA,NA,NA,NA,NA,NA,NA,"may","10.1111/mec.16451",2022,"Molecular Ecology",31,"11","NA scopus NA","Abdullahi M.; Zhou J.; Dandhapani V.; Chaturvedi A.; Orsini L.","Abdullahi","","historical exposure to chemicals reduces tolerance to novel chemical stress in daphnia (waterflea)","Resurrection experiment; Assumes a generation per year","article","invertebrate","Daphnia magna","pollution; anthropogenic","WGS","historical","50","50","10.1111_mec.16451.pdf","anthropogenic","anthropogenic"
"125",126,"10.1111_mec.16748.pdf","pfenninger","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","No","No","No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"pfenninger","yes","How did a cold snap affect genomic diversity in a biting midge population?","candidate gene list","multiple_temporal","cold temperature","tajima's d","yes",NA,NA,"pfenninger ","no",NA,NA,NA,NA,NA,NA,"controlled for drift but not really a focal result","","","","","","","","","pfenninger","yes","multiple_temporal","cold snap; short-term weather events","sliding window","see notes doc","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,137,"Yes","pfenninger","yes","yes","yes",NA,NA,"same alleles under selection during natural cold snap and laboratory cold snap","august","10.1111/mec.16748",2023,"",NA,"","","Pfenninger M.; Foucault Q.; Waldvogel A.-M.; Feldmeyer B.","Pfenninger","","Selective effects of a short transient environmental fluctuation on a natural population","","article","invertebrate","Chironomus riparius","natural evolution","WGS","repeated","0.5 or 0.58333333","6.5","10.1111_mec.16748.pdf","natural evolution","natural evolution"
